tipo_imovel,cidade,bairro,localizacao,metro_quadrado_terreno,metro_quadrado_construido,quantidade_comodos,quantidade_suites,possui_piscina,idade_anos,estado_conservacao,preco
casa,Sao Paulo,Vila Madalena,centro,470,300,16,3,nao,6,bom,4367000
chacara,Juquitiba,Zona Rural,periferia,7049,339,12,2,sim,36,ruim,1474000
apartamento,Sao Paulo,Brasilandia,periferia,184,179,8,1,sim,27,ruim,622000
apartamento,Sao Paulo,Brooklin,centro,124,121,5,0,nao,27,ruim,1164000
chacara,Cotia,Zona Rural,periferia,4572,158,7,1,sim,33,ruim,553000
casa,Sao Paulo,Perus,periferia,424,257,11,1,nao,22,ruim,953000
casa,Sao Paulo,Itaim Paulista,periferia,174,80,4,4,nao,10,bom,549000
apartamento,Sao Paulo,Grajau,periferia,154,138,7,2,nao,8,bom,637000
casa,Sao Paulo,Perus,periferia,393,235,10,2,nao,12,bom,885000
apartamento,Sao Paulo,Vila Olimpia,centro,240,212,8,2,nao,33,ruim,2256000
apartamento,Sao Paulo,Vila Madalena,centro,122,119,6,2,nao,38,ruim,1037000
apartamento,Sao Paulo,Parelheiros,periferia,156,143,6,0,nao,19,bom,470000
apartamento,Sao Paulo,Itaim Paulista,periferia,223,206,7,1,nao,48,ruim,569000
apartamento,Sao Paulo,Higienopolis,centro,142,125,4,2,nao,13,bom,1425000
apartamento,Sao Paulo,Itaquera,periferia,64,60,3,0,nao,26,ruim,237000
apartamento,Sao Paulo,Capao Redondo,periferia,77,77,2,2,nao,35,ruim,377000
apartamento,Sao Paulo,Mooca,centro,213,208,7,2,nao,41,ruim,1578000
chacara,Ibiuna,Zona Rural,periferia,5758,167,6,4,nao,31,ruim,819000
apartamento,Sao Paulo,Itaim Bibi,centro,64,63,4,1,nao,12,ruim,724000
casa,Sao Paulo,Vila Mariana,centro,134,74,3,1,nao,20,ruim,716000
apartamento,Sao Paulo,Itaquera,periferia,174,171,8,1,nao,12,bom,883000
sitio,Atibaia,Zona Rural,periferia,38253,328,12,1,nao,7,bom,2944000
casa,Sao Paulo,Itaim Paulista,periferia,630,224,12,4,sim,34,ruim,1179000
casa,Sao Paulo,Itaquera,periferia,576,269,11,2,nao,39,ruim,1372000
apartamento,Sao Paulo,M'Boi Mirim,periferia,54,54,3,0,nao,12,bom,223000
apartamento,Sao Paulo,Vila Mariana,centro,64,63,3,0,sim,4,bom,791000
apartamento,Sao Paulo,Bela Vista,centro,221,196,8,2,sim,10,bom,1803000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,132,131,4,3,sim,5,bom,2636000
sitio,Nazare Paulista,Zona Rural,periferia,87877,249,10,2,sim,38,ruim,3372000
casa,Sao Paulo,Tatuape,centro,262,116,4,2,sim,14,bom,1558000
casa,Sao Paulo,Tatuape,centro,842,372,19,4,nao,26,ruim,4484000
casa,Sao Paulo,Jardim Paulista,centro,550,312,15,3,nao,24,bom,4131000
apartamento,Sao Paulo,Perus,periferia,237,212,7,1,nao,46,ruim,687000
apartamento,Sao Paulo,Cidade Ademar,periferia,71,66,2,2,nao,32,ruim,351000
casa,Sao Paulo,M'Boi Mirim,periferia,168,108,4,2,nao,27,ruim,420000
casa,Sao Paulo,Perdizes,centro,373,190,9,1,sim,17,bom,3124000
casa,Sao Paulo,Guaianases,periferia,473,228,12,3,nao,6,bom,1201000
apartamento,Osasco,Centro (Osasco),periferia,161,161,5,1,nao,18,bom,937000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,2433,398,15,1,sim,58,ruim,1072000
apartamento,Guarulhos,Centro (Guarulhos),periferia,41,40,2,0,nao,42,ruim,153000
apartamento,Sao Paulo,Santana,centro,189,183,7,1,sim,44,ruim,1367000
chacara,Piracaia,Zona Rural,periferia,1784,128,4,1,sim,38,ruim,536000
apartamento,Sao Paulo,Itaim Bibi,centro,235,216,10,2,nao,40,ruim,2293000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,230,216,9,3,nao,7,ruim,3233000
casa,Sao Paulo,Grajau,periferia,633,380,18,2,nao,6,bom,1639000
apartamento,Sao Paulo,Brooklin,centro,162,148,7,1,nao,23,bom,1513000
apartamento,Sao Paulo,Pinheiros,centro,151,140,5,2,nao,12,ruim,2002000
apartamento,Sao Paulo,Perus,periferia,108,101,5,2,nao,19,bom,486000
apartamento,Sao Paulo,Guaianases,periferia,56,56,2,1,nao,13,bom,246000
casa,Sao Paulo,Santana,centro,1006,342,16,2,sim,6,bom,5426000
sitio,Cotia,Zona Rural,periferia,40190,262,11,1,sim,9,bom,2600000
apartamento,Sao Paulo,Perus,periferia,235,217,8,3,nao,17,bom,1017000
casa,Sao Paulo,Brooklin,centro,205,119,5,1,sim,12,bom,1676000
casa,Sao Paulo,Mooca,centro,437,150,9,3,nao,32,bom,2135000
casa,Sao Paulo,Mooca,centro,637,229,12,3,nao,23,ruim,3036000
casa,Sao Paulo,M'Boi Mirim,periferia,220,104,7,4,nao,13,bom,544000
chacara,Pinhalzinho,Zona Rural,periferia,3913,263,10,3,sim,52,ruim,1265000
casa,Sao Paulo,Itaquera,periferia,962,307,15,4,nao,30,ruim,1449000
casa,Sao Paulo,Capao Redondo,periferia,448,165,10,4,nao,3,bom,952000
sitio,Sao Luiz do Paraitinga,Zona Rural,periferia,53237,343,11,2,nao,34,ruim,1459000
apartamento,Sao Paulo,Bela Vista,centro,60,55,1,1,nao,30,ruim,474000
apartamento,Sao Paulo,Perus,periferia,193,193,9,2,nao,15,ruim,772000
apartamento,Sao Paulo,Jardim Angela,periferia,200,192,8,2,nao,40,ruim,600000
apartamento,Sao Paulo,Cidade Ademar,periferia,211,184,7,1,nao,22,ruim,634000
casa,Sao Paulo,Brooklin,centro,382,233,13,1,sim,2,bom,2997000
apartamento,Sao Paulo,Higienopolis,centro,235,212,8,2,nao,10,bom,3040000
casa,Sao Paulo,Grajau,periferia,552,285,14,4,nao,39,ruim,1051000
casa,Sao Paulo,Grajau,periferia,483,214,12,4,nao,42,ruim,910000
casa,Sao Paulo,Vila Madalena,centro,894,385,19,4,sim,6,bom,5544000
apartamento,Sao Paulo,Vila Madalena,centro,136,130,4,0,sim,4,bom,1472000
apartamento,Sao Paulo,Moema,centro,35,35,1,0,sim,19,bom,514000
casa,Sao Paulo,M'Boi Mirim,periferia,306,155,8,1,nao,9,bom,762000
apartamento,Sao Paulo,Santana,centro,62,62,3,1,nao,8,bom,404000
casa,Sao Paulo,Pinheiros,centro,632,257,13,4,sim,24,bom,4442000
chacara,Mairipora,Zona Rural,periferia,11203,214,7,4,nao,13,ruim,1785000
apartamento,Sao Paulo,Perdizes,centro,94,93,5,0,nao,8,bom,1016000
casa,Sao Paulo,Itaim Bibi,centro,431,265,14,4,nao,20,ruim,3034000
apartamento,Sao Paulo,Cidade Tiradentes,periferia,145,143,6,3,nao,24,bom,491000
casa,Sao Paulo,Higienopolis,centro,494,345,17,1,sim,10,bom,4154000
apartamento,Sao Paulo,Cidade Ademar,periferia,183,169,6,3,nao,20,bom,807000
casa,Sao Paulo,Bela Vista,centro,766,363,15,1,sim,8,bom,4848000
casa,Sao Paulo,Perus,periferia,747,359,16,3,nao,33,ruim,1374000
chacara,Pinhalzinho,Zona Rural,periferia,9013,93,5,1,nao,15,ruim,597000
apartamento,Sao Paulo,Moema,centro,159,147,6,1,nao,18,bom,2048000
apartamento,Sao Paulo,Jardim Paulista,centro,169,161,5,0,nao,31,ruim,1297000
apartamento,Sao Paulo,Bela Vista,centro,140,131,5,1,sim,48,ruim,801000
apartamento,Sao Paulo,Pinheiros,centro,199,176,6,3,nao,47,ruim,2189000
apartamento,Guarulhos,Centro (Guarulhos),periferia,58,52,3,1,nao,10,bom,317000
casa,Sao Paulo,Itaim Paulista,periferia,408,192,9,1,nao,46,ruim,634000
apartamento,Sao Paulo,Tatuape,centro,196,191,8,1,nao,29,ruim,1399000
casa,Sao Paulo,Jardim Paulista,centro,380,123,5,1,nao,19,bom,2250000
apartamento,Sao Paulo,Mooca,centro,66,58,1,0,nao,22,bom,414000
apartamento,Sao Paulo,Pinheiros,centro,102,94,5,0,nao,8,ruim,1221000
casa,Sao Paulo,Brasilandia,periferia,366,120,6,2,sim,34,ruim,637000
casa,Sao Paulo,Moema,centro,545,214,12,4,nao,4,bom,3610000
apartamento,Sao Paulo,Itaquera,periferia,121,107,4,1,nao,26,ruim,483000
sitio,Braganca Paulista,Zona Rural,periferia,30006,259,10,3,sim,31,ruim,1546000
casa,Sao Paulo,Santana,centro,786,382,18,3,nao,29,ruim,4017000
apartamento,Sao Paulo,Brasilandia,periferia,117,110,4,1,nao,26,ruim,439000
apartamento,Sao Paulo,Itaim Bibi,centro,200,178,8,0,nao,11,bom,2331000
casa,Sao Paulo,Itaim Paulista,periferia,660,248,10,4,nao,25,bom,1366000
apartamento,Osasco,Centro (Osasco),periferia,41,39,3,1,nao,45,ruim,185000
casa,Sao Paulo,Brasilandia,periferia,331,180,9,2,nao,51,ruim,664000
casa,Guarulhos,Centro (Guarulhos),periferia,403,220,11,3,nao,23,ruim,1101000
casa,Sao Paulo,Cidade Ademar,periferia,144,72,3,2,nao,32,bom,349000
sitio,Sao Luiz do Paraitinga,Zona Rural,periferia,31131,113,4,2,nao,5,bom,2466000
apartamento,Sao Paulo,Grajau,periferia,61,55,2,1,nao,19,ruim,222000
sitio,Atibaia,Zona Rural,periferia,146819,214,7,1,nao,18,bom,10271000
casa,Sao Paulo,Jardim Paulista,centro,990,344,18,4,sim,34,ruim,5161000
apartamento,Sao Paulo,Brasilandia,periferia,53,52,1,1,nao,0,bom,230000
apartamento,Sao Paulo,Itaim Paulista,periferia,67,66,4,0,nao,35,bom,226000
casa,Sao Paulo,Santana,centro,733,318,15,4,nao,9,bom,4157000
apartamento,Sao Paulo,Higienopolis,centro,75,67,2,0,nao,26,ruim,637000
chacara,Nazare Paulista,Zona Rural,periferia,12918,356,13,1,sim,30,ruim,2376000
casa,Sao Paulo,Brasilandia,periferia,213,86,3,2,nao,31,ruim,382000
apartamento,Sao Paulo,Brooklin,centro,137,131,5,2,nao,0,bom,1473000
casa,Sao Paulo,Santana,centro,507,225,12,4,sim,23,bom,2506000
apartamento,Sao Paulo,Bela Vista,centro,77,73,3,0,sim,13,bom,699000
apartamento,Sao Paulo,Mooca,centro,81,72,3,0,sim,6,bom,547000
chacara,Juquitiba,Zona Rural,periferia,8395,338,13,3,nao,13,ruim,1172000
casa,Sao Paulo,Santana,centro,535,234,13,2,nao,23,bom,2986000
apartamento,Sao Paulo,Bela Vista,centro,212,195,8,1,nao,25,ruim,1250000
